DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
15-05-2020,77.50,78.50,75.95,76.10,744980,3429
14-05-2020,76.70,77.20,75.25,76.15,500642,2694
13-05-2020,80.00,80.00,76.25,78.20,749724,4794
12-05-2020,76.90,77.25,74.55,76.25,616351,2798
11-05-2020,75.90,78.15,74.70,77.00,710578,3308
08-05-2020,76.80,77.20,74.80,75.95,931191,4382
07-05-2020,79.00,79.00,75.15,75.65,975540,5311
06-05-2020,81.45,81.45,77.50,79.25,1749719,6811
05-05-2020,78.50,81.90,78.05,78.45,2716607,13628
04-05-2020,76.30,77.90,74.10,76.55,1707344,8562
30-04-2020,72.15,81.05,71.50,79.95,3647201,14065
29-04-2020,69.60,70.95,68.70,70.50,1247449,4925
28-04-2020,68.00,69.60,67.10,69.15,905914,4081
27-04-2020,69.90,69.90,67.70,68.50,1524026,5071
24-04-2020,67.40,69.50,66.60,67.60,2147374,7197
23-04-2020,67.00,69.05,66.65,67.30,4519518,10600
22-04-2020,66.50,66.50,60.90,65.35,4278894,20104
21-04-2020,70.50,70.75,67.60,69.25,2262467,15101
20-04-2020,75.80,75.80,73.80,74.05,951631,5198
17-04-2020,77.05,77.90,75.15,76.30,982006,4956
16-04-2020,73.80,76.50,73.50,75.65,1056542,5951
15-04-2020,75.55,76.45,73.55,74.35,1321745,6802
13-04-2020,78.90,78.90,72.70,75.05,1488377,8481
09-04-2020,76.40,77.70,76.00,77.30,1131691,5229
08-04-2020,73.25,76.35,71.10,74.25,1614433,6870
07-04-2020,71.15,74.35,70.25,73.05,1949593,8406
03-04-2020,69.35,71.00,66.50,69.85,2336927,9719
01-04-2020,67.75,67.75,65.15,65.75,984431,4985
31-03-2020,64.40,69.70,63.85,68.30,2163519,9637
30-03-2020,61.75,65.60,60.00,63.45,1338352,9028
27-03-2020,66.00,66.20,62.75,64.30,1693106,8600
26-03-2020,61.50,65.55,59.70,64.80,2490350,10692
25-03-2020,62.45,63.00,60.00,61.50,1491418,8770
24-03-2020,64.00,64.60,60.10,62.50,2264087,10327
23-03-2020,62.50,65.45,60.05,60.45,2414117,22335
20-03-2020,63.55,74.30,62.75,72.45,6246561,31349
19-03-2020,62.00,64.00,58.10,61.10,4503968,22487
18-03-2020,61.75,84.05,57.55,65.95,7055914,28887
17-03-2020,60.80,63.20,59.70,60.05,3505092,12984
16-03-2020,64.50,65.15,60.00,60.15,2362616,12285
13-03-2020,60.00,67.50,51.80,65.90,4367409,17497
12-03-2020,67.90,68.30,62.00,62.60,3367684,14805
11-03-2020,78.00,78.00,71.10,71.65,2548891,11354
09-03-2020,85.00,85.00,74.00,74.65,3379797,17459
06-03-2020,90.00,91.45,87.70,89.15,1436487,4242
05-03-2020,93.15,94.50,92.05,92.50,697998,2927
04-03-2020,94.25,94.90,90.75,92.85,2587360,6271
03-03-2020,91.90,94.00,89.65,93.30,1052406,4861
02-03-2020,94.40,95.00,88.30,89.10,1098906,5481
