,timestamp, Close/Last_ACTUAL, Close/Last_FORECAST
1378,2014-09-08,98.36,
1377,2014-09-09,97.99,
1376,2014-09-10,101.0,
1375,2014-09-11,101.43,
1374,2014-09-12,101.66,
1373,2014-09-15,101.63,
1372,2014-09-16,100.86,
1371,2014-09-17,101.58,
1370,2014-09-18,101.79,
1369,2014-09-19,100.96,
1368,2014-09-22,101.06,
1367,2014-09-23,102.64,
1366,2014-09-24,101.75,
1365,2014-09-25,97.87,
1364,2014-09-26,100.75,
1363,2014-09-29,100.11,
1362,2014-09-30,100.75,
1361,2014-10-01,99.18,
1360,2014-10-02,99.9,
1359,2014-10-03,99.62,
1358,2014-10-06,99.62,
1357,2014-10-07,98.75,
1356,2014-10-08,100.8,
1355,2014-10-09,101.02,
1354,2014-10-10,100.73,
1353,2014-10-13,99.81,
1352,2014-10-14,98.75,
1351,2014-10-15,97.54,
1350,2014-10-16,96.26,
1349,2014-10-17,97.67,
1348,2014-10-20,99.76,
1347,2014-10-21,102.47,
1346,2014-10-22,102.99,
1345,2014-10-23,104.83,
1344,2014-10-24,105.22,
1343,2014-10-27,105.11,
1342,2014-10-28,106.74,
1341,2014-10-29,107.34,
1340,2014-10-30,106.98,
1339,2014-10-31,108.0,
1338,2014-11-03,109.4,
1337,2014-11-04,108.6,
1336,2014-11-05,108.86,
1335,2014-11-06,108.7,
1334,2014-11-07,109.01,
1333,2014-11-10,108.83,
1332,2014-11-11,109.7,
1331,2014-11-12,111.25,
1330,2014-11-13,112.82,
1329,2014-11-14,114.18,
1328,2014-11-17,113.99,
1327,2014-11-18,115.47,
1326,2014-11-19,114.67,
1325,2014-11-20,116.31,
1324,2014-11-21,116.47,
1323,2014-11-24,118.625,
1322,2014-11-25,117.6,
1321,2014-11-26,119.0,
1320,2014-11-28,118.93,
1319,2014-12-01,115.07,
1318,2014-12-02,114.63,
1317,2014-12-03,115.93,
1316,2014-12-04,115.49,
1315,2014-12-05,115.0,
1314,2014-12-08,112.4,
1313,2014-12-09,114.12,
1312,2014-12-10,111.95,
1311,2014-12-11,111.62,
1310,2014-12-12,109.73,
1309,2014-12-15,108.225,
1308,2014-12-16,106.745,
1307,2014-12-17,109.41,
1306,2014-12-18,112.65,
1305,2014-12-19,111.78,
1304,2014-12-22,112.94,
1303,2014-12-23,112.54,
1302,2014-12-24,112.01,
1301,2014-12-26,113.99,
1300,2014-12-29,113.91,
1299,2014-12-30,112.52,
1298,2014-12-31,110.38,
1297,2015-01-02,109.33,
1296,2015-01-05,106.25,
1295,2015-01-06,106.26,
1294,2015-01-07,107.75,
1293,2015-01-08,111.89,
1292,2015-01-09,112.01,
1291,2015-01-12,109.25,
1290,2015-01-13,110.22,
1289,2015-01-14,109.8,
1288,2015-01-15,106.82,
1287,2015-01-16,105.99,
1286,2015-01-20,108.72,
1285,2015-01-21,109.55,
1284,2015-01-22,112.4,
1283,2015-01-23,112.98,
1282,2015-01-26,113.1,
1281,2015-01-27,109.14,
1280,2015-01-28,115.31,
